,0
Useful Life,30.0
Wind Cost ($/kW),1349.0
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),2779.70112
Total Electricity Production (kWh),4313.365862896045
Debt Equity,60.0
ATB Year,2020.0
H2 PTC,3.0
Wind ITC,0.0
Discount Rate,0.07
NPV Wind Expenses,-1334098296.6537435
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),21.010811796066694
LCOH ($/kg),3.512349108243387
Electrolyzer CF (-),0.99990751
Hydrogen storage duration (hr),0.8102227336030383
Hydrogen storage capacity (kg),8914.805368277617
Hydrogen storage CAPEX ($/kg),12.389736362129
Hydrogen annual production (kg),159204765.6000154
Renewable electricity used annually (MWh),4313365.9
Grid electricity used annually (MWh),4445823.9
Renewable curtailment annually,0.0
LCOH: Grid Electricity ($/kg),1.68281039
LCOH: Compression & storage ($/kg),0.03780527
LCOH: Electrolyzer CAPEX ($/kg),1.15509414
LCOH: Desalination CAPEX ($/kg),0.00068831
LCOH: Electrolyzer FOM ($/kg),0.08039961
LCOH:Desalination FOM ($/kg),0.01040416
LCOH: Electrolyzer VOM ($/kg),0.41208778
LCOH: Renewable CAPEX ($/kg),0.59579266
LCOH: Renewable FOM ($/kg),0.27009245
LCOH: Taxes and Finances ($/kg),0.18708423
LCOH: Water consumption ($/kg),0.028385
LCOH: Bulk H2 Transmission ($/kg),0.10753247468116486
LCOH: Renewable PTC Reduction ($/kg),0.5633894648440556
LCOH: H2PTC Reduction ($/kg),0.49243790159372236
Steel annual production (tonne/year),2172290.616131199
Ammonia annual production (kg/year),726282903.5705061
Steel Price with Integration ($/tonne),988.4977407979945
Steel price: EAF and Casting CAPEX ($/tonne),4.821301060076864
Steel price: Shaft Furnace CAPEX ($/tonne),3.8005658427942013
Steel price: Oxygen Supply CAPEX ($/tonne),0.38172690552420574
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2575237921400911
Steel price: Cooling Tower CAPEX ($/tonne),0.46550186574867747
Steel price: Piping CAPEX ($/tonne),1.3392634350760484
Steel price: Electrical & Instrumentation ($/tonne),0.8928422908063378
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3580680996024506
Steel price: Miscellaneous CAPEX ($/tonne),0.8928426467122522
Steel price: Annual Operating Labor Cost ($/tonne),42.10601948747232
Steel price: Maintenance Labor Cost ($/tonne),3.937774744472764
Steel price: Administrative & Support Labor Cost ($/tonne),11.51094855798627
Steel price: Installation Cost ($/tonne),7.291704016206004
Steel price: Maintenance Materials ($/tonne),7.719999999999997
Steel price: Raw Water Withdrawal ($/tonne),0.4764879062999999
Steel price: Lime ($/tonne),3.1531490978224905
Steel price: Carbon ($/tonne),15.572229964837828
Steel price: Iron Ore ($/tonne),554.7201545355234
Steel price: Hydrogen ($/tonne),231.67454717973374
Steel price: Natural gas ($/tonne),2.7167092623580067
Steel price: Electricity ($/tonne),33.155801669507994
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),11.736612930551894
Steel price: Financial ($/tonne),53.79792756057702
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1001.339740751831
(-) Steel price: BOS savings ($/tonne),5.755474278993135
Ammonia price: Air Separation by Cryogenic ($/kg),0.0014428588466284962
Ammonia price: Haber Bosch ($/kg),0.0011951839237329313
Ammonia price: Boiler and Steam Turbine ($/kg),0.00045319773184609964
Ammonia price: Cooling Tower ($/kg),0.0003076751714752657
Ammonia price: Depreciable Nonequipment ($/kg),0.0017570161539851472
Ammonia price: Labor Cost ($/kg),0.009381706086586575
Ammonia price: Maintenance Cost ($/kg),0.0007121677896960254
Ammonia price: Administrative Expense ($/kg),0.0018763412173173155
Ammonia price: Hydrogen ($/kg),0.6929316969473784
Ammonia price: Electricity ($/kg),0.03197740536854937
Ammonia price: Cooling water ($/kg),5.580990977316855e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480313
Ammonia price: Oxygen byproduct ($/kg),0.00838664830060196
Ammonia price: Taxes ($/kg),0.0029751214893042758
Ammonia price: Financial ($/kg),0.016069037022551927
Ammonia price: Total ($/kg),0.7554787719710249
