,0
Useful Life,30.0
Wind Cost ($/kW),1938.0
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),715.6800000000001
Total Electricity Production (kWh),2655504936.13261
Debt Equity,60.0
ATB Year,2025.0
H2 PTC,0.0
Wind ITC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2475905769.972776
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),66.07304973572694
LCOH ($/kg),5.959219482671137
Electrolyzer CF (-),0.3031744418463991
Hydrogen storage duration (hr),407.8205523701307
Hydrogen storage capacity (kg),8890935.948239516
Hydrogen storage CAPEX ($/kg),12.389736362129
Hydrogen annual production (kg),44199953.20578721
LCOH: Hydrogen Storage ($/kg),0.07498577229284395
LCOH: Compression ($/kg),0.026548129594039665
LCOH: Electrolyzer CAPEX ($/kg),0.48717859968877714
LCOH: Desalination CAPEX ($/kg),0.0011173408695127713
LCOH: Electrolyzer FOM ($/kg),0.2613969683105444
LCOH:Desalination FOM ($/kg),0.004933161502989596
LCOH: Electrolyzer VOM ($/kg),0.0705260729497463
LCOH: Renewable Plant ($/kg),1.3205570622667209
LCOH: Renewable FOM ($/kg),0.7901131799949189
LCOH: Taxes ($/kg),0.2892790766822211
LCOH: Financial ($/kg),2.6103149892312185
LCOH: Water consumption ($/kg),0.022269129287598922
Steel annual production (tonne/year),603092.1450152894
Ammonia annual production (kg/year),201637622.03344828
Steel price: EAF and Casting CAPEX ($/tonne),9.86490868507023
Steel price: Shaft Furnace CAPEX ($/tonne),4.4738625432984795
Steel price: Oxygen Supply CAPEX ($/tonne),0.6124699430623284
Steel price: H2 Pre-heating CAPEX ($/tonne),0.3117220224471444
Steel price: Cooling Tower CAPEX ($/tonne),0.7589349404635664
Steel price: Piping CAPEX ($/tonne),2.2790219511279592
Steel price: Electrical & Instrumentation ($/tonne),1.5193479687045088
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",3.1048267962589264
Steel price: Miscellaneous CAPEX ($/tonne),1.5193485743489028
Steel price: Annual Operating Labor Cost ($/tonne),109.74836647683964
Steel price: Maintenance Labor Cost ($/tonne),6.210663790653654
Steel price: Administrative & Support Labor Cost ($/tonne),28.989757566873323
Steel price: Installation Cost ($/tonne),9.437133114266034
Steel price: Maintenance Materials ($/tonne),7.719999999999997
Steel price: Raw Water Withdrawal ($/tonne),0.47648790629999993
Steel price: Lime ($/tonne),3.0655415999999995
Steel price: Carbon ($/tonne),13.188531999999997
Steel price: Iron Ore ($/tonne),440.22875399999987
Steel price: Hydrogen ($/tonne),393.07011707698814
Steel price: Natural gas ($/tonne),2.7167092623580062
Steel price: Electricity ($/tonne),26.915783999999995
Steel price: Slag Disposal ($/tonne),6.560037899999998
Steel price: Taxes ($/tonne),28.990727867861665
Steel price: Financial ($/tonne),93.16002674001302
Steel price: Total ($/tonne),1194.9230827269357
Ammonia price: Air Separation by Cryogenic ($/kg),0.0024547752292996034
Ammonia price: Haber Bosch ($/kg),0.0020333991071214757
Ammonia price: Boiler and Steam Turbine ($/kg),0.0007710376997099375
Ammonia price: Cooling Tower ($/kg),0.0005234561865651826
Ammonia price: Depreciable Nonequipment ($/kg),0.0027644521844205072
Ammonia price: Labor Cost ($/kg),0.024529150827948595
Ammonia price: Maintenance Cost ($/kg),0.0005511571889584921
Ammonia price: Administrative Expense ($/kg),0.004905830165589719
Ammonia price: Hydrogen ($/kg),1.1756610579847442
Ammonia price: Electricity ($/kg),0.025959165287560003
Ammonia price: Cooling water ($/kg),5.580990977316859e-06
Ammonia price: Iron based catalyst ($/kg),0.002118031527748033
Ammonia price: Oxygen byproduct ($/kg),0.008386648300601967
Ammonia price: Taxes ($/kg),0.009826580614931048
Ammonia price: Financial ($/kg),0.031933724910984146
Ammonia price: Total ($/kg),1.2771129020513463
