,0
Useful Life,30.0
Wind Cost ($/kW),1026.0
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),326.19104000000004
Wind capacity (MW),780.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),720.0
Total Electricity Production (kWh),3659674052.5872855
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity (kg-CO2/kg-H2),0.0
H2 PTC ($/kg),0.6
Ren PTC ($/kg),0.2774920776026661
Wind PTC,0.0051
Discount Rate,0.07
NPV Wind Expenses,-1499608236.656546
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),27.52662409540958
Electricity CF (-),0.5802375146796162
LCOH ($/kg),1.806366148180102
Electrolyzer CF (-),0.5824312235760627
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),26967.0
Number of stack clusters (-),18.0
Hydrogen storage duration (hr),423.981592873841
Hydrogen storage capacity (kg),6801095.272908725
Hydrogen storage CAPEX ($/kg),17.164317691925053
Hydrogen annual production (kg),67260794.72048964
Hydrogen production total CAPEX ($),1181135521.9785163
Hydrogen transmission total CAPEX ($),58123477.7239346
Steel Plant Total CAPEX ($),516111179.61751294
Ammonia Plant Total CAPEX ($),65743220.9471937
LCOH: Compression & storage ($/kg),0.12991837195093572
LCOH: Electrolyzer CAPEX ($/kg),0.49513762438602305
LCOH: Desalination CAPEX ($/kg),0.0010602356459446104
LCOH: Electrolyzer FOM ($/kg),0.13700588310992717
LCOH:Desalination FOM ($/kg),0.002585615864672297
LCOH: Electrolyzer VOM ($/kg),0.06901265171786383
LCOH: Wind Plant CAPEX ($/kg),0.7179521592362466
LCOH: Wind Plant FOM ($/kg),0.4305474098237171
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),-0.3579503028079953
LCOH: Water consumption ($/kg),0.014063324538258582
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.1687509501064548
Steel annual production (tonne/year),917748.866713776
Steel annual capacity margin (%),11.111111111111104
Ammonia annual production (kg/year),306839843.0282432
Ammonia annual capacity margin (%),11.11111111111111
Steel Price with Integration ($/tonne),864.665514517455
Steel price: EAF and Casting CAPEX ($/tonne),7.704169425644415
Steel price: Shaft Furnace CAPEX ($/tonne),4.1877309443646515
Steel price: Oxygen Supply CAPEX ($/tonne),0.5179821127259329
Steel price: H2 Pre-heating CAPEX ($/tonne),0.28913061103426846
Steel price: Cooling Tower CAPEX ($/tonne),0.638494412215072
Steel price: Piping CAPEX ($/tonne),1.8906330803730915
Steel price: Electrical & Instrumentation ($/tonne),1.2604220546487934
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.801529222774126
Steel price: Miscellaneous CAPEX ($/tonne),1.2604225570798147
Steel price: Annual Operating Labor Cost ($/tonne),80.18334863870989
Steel price: Maintenance Labor Cost ($/tonne),5.320528183560696
Steel price: Administrative & Support Labor Cost ($/tonne),21.375969205567646
Steel price: Installation Cost ($/tonne),8.24436591055999
Steel price: Maintenance Materials ($/tonne),7.719999999999997
Steel price: Raw Water Withdrawal ($/tonne),0.4764879062999999
Steel price: Lime ($/tonne),2.8880144822630327
Steel price: Carbon ($/tonne),14.135481967115503
Steel price: Iron Ore ($/tonne),456.4801594918122
Steel price: Hydrogen ($/tonne),119.1479111339595
Steel price: Natural gas ($/tonne),2.7167092623580062
Steel price: Electricity ($/tonne),46.18310348517599
Steel price: Slag Disposal ($/tonne),6.5600378999999975
Steel price: Taxes ($/tonne),15.076150033243612
Steel price: Equipment Financing ($/tonne),58.39938244778836
Steel price: Remaining Financial ($/tonne),12.330308652516099
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),877.7884731217908
(-) Steel price: BOS savings ($/tonne),10.687984602783823
Ammonia price: Air Separation by Cryogenic ($/kg),0.00203657999898674
Ammonia price: Haber Bosch ($/kg),0.0016869894653054056
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006396838044280067
Ammonia price: Cooling Tower ($/kg),0.0004342802498494702
Ammonia price: Depreciable Nonequipment ($/kg),0.002344435648837616
Ammonia price: Labor Cost ($/kg),0.017903064447020542
Ammonia price: Maintenance Cost ($/kg),0.0005994369549298051
Ammonia price: Administrative Expense ($/kg),0.003580612889404107
Ammonia price: Hydrogen ($/kg),0.356367867143121
Ammonia price: Electricity ($/kg),0.04454170151106028
Ammonia price: Cooling water ($/kg),5.580990977316859e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601965
Ammonia price: Taxes ($/kg),0.0029411908487766768
Ammonia price: Equipment Financing ($/kg),0.014775252235926739
Ammonia price: Remaining Financial ($/kg),0.004285181500444344
Ammonia price: Total ($/kg),0.46375170604483035
