,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Operating Expenses,Administrative expenses,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Operating Expenses,Road tax,0.0
11,Financing cash outflow,Income taxes payable,0.0
12,Operating Expenses,Non-depreciable assets,0.00011169300352034024
13,Operating Expenses,Desalination,0.0005280010910017554
14,Operating Expenses,Desalination Fixed O&M Cost,0.002331172811034989
15,Operating Expenses,Compression,0.012545358155404618
16,Operating Expenses,Water,0.014063324538258579
17,Operating Expenses,Cash on hand reserve,0.0188649997046903
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.02395814925511298
19,Operating Expenses,Property insurance,0.02627568273530563
20,Operating Expenses,Battery Storage,0.03194419900681731
21,Operating Expenses,Hydrogen Storage,0.040362845220696955
22,Operating Expenses,Var O&M,0.06825197648002373
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.12352352645321471
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.1331939066980057
25,Operating Expenses,Solar Plant,0.1816079650784201
26,Operating Expenses,Electrolysis system,0.1836236151742782
27,Operating Expenses,Wind Plant,0.3310580624342885
28,Operating Expenses,Wind Plant Fixed O&M Cost,0.38817847204452977
29,Financing cash outflow,Repayment of debt,0.5451392209245199
30,Financing cash outflow,Interest expense,0.7285255154768786
31,Financing cash outflow,Dividends paid,1.0942126572032738
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.00011169300352034024
36,Financing cash inflow,One time capital incentive,0.015972099503408655
37,Operating Revenue,Cash on hand recovery,0.018864999704690296
38,Financing cash inflow,Inflow of debt,0.5451392209245198
39,Operating Revenue,Hydrogen sales,1.467046833598676
40,Financing cash inflow,Inflow of equity,2.204487905612734
41,Financing cash inflow,Monetized tax losses,2.630771258339079
