,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Sales tax,0.0
7,Operating Expenses,Credit card fees,0.0
8,Operating Expenses,Road tax,0.0
9,Operating Expenses,Property insurance,0.0
10,Operating Expenses,Non-depreciable assets,0.03146751740139212
11,Operating Expenses,H2 Pre-heating,0.2869022069460835
12,Operating Expenses,Raw Water Withdrawal,0.47648790630000015
13,Operating Expenses,Oxygen Supply,0.5075223101862981
14,Operating Expenses,Cooling Tower,0.6251512677320051
15,Operating Expenses,Electrical & Instrumentation,1.2317092823462876
16,Operating Expenses,Other Miscellaneous Costs,1.2317097733317872
17,Operating Expenses,Piping,1.8475639219557831
18,Operating Expenses,Lime,2.0893149150125425
19,Operating Expenses,Natural Gas,2.716709262358008
20,Operating Expenses,"Buildings, Storage, Water Service",2.7694491342931595
21,Operating Expenses,Shaft Furnace,4.160667668404816
22,Operating Expenses,Cash on hand reserve,4.27681959050156
23,Operating Expenses,Maintenance Labor Cost,5.210943369261337
24,Operating Expenses,Slag Disposal,6.560037900000004
25,Operating Expenses,Installation cost,7.4504962512964745
26,Operating Expenses,EAF & Casting,7.466568039521195
27,Operating Expenses,Maintenance Materials,7.720000000000002
28,Operating Expenses,Carbon,11.722256166785757
29,Operating Expenses,Property tax and insurance,12.076346162830449
30,Financing cash outflow,Repayment of debt,16.00870007366096
31,Operating Expenses,Administrative & Support Labor Cost,20.50392405066484
32,Financing cash outflow,Income taxes payable,21.61898384673147
33,Financing cash outflow,Interest expense,24.789472064063997
34,Operating Expenses,Electricity,42.75563770203601
35,Financing cash outflow,Dividends paid,60.69609844072428
36,Operating Expenses,Annual Operating Labor Cost,76.80475283339801
37,Operating Expenses,Iron Ore,360.92245014899083
38,Operating Expenses,Hydrogen,818.7628790956176
39,Operating Revenue,Take or pay revenue,0.0
40,Operating Revenue,Incidental revenue,0.0
41,Operating Revenue,Oxygen sales,0.0
42,Financing cash inflow,One time capital incentive,0.0
43,Financing cash inflow,Annual operating incentives,0.0
44,Operating Revenue,Sale of non-depreciable assets,0.03146751740139212
45,Operating Revenue,Cash on hand recovery,4.276819590501559
46,Financing cash inflow,Monetized tax losses,5.932783723736234
47,Financing cash inflow,Inflow of debt,16.00870007366096
48,Financing cash inflow,Inflow of equity,25.735757322441046
49,Operating Revenue,Steel sales,1471.335492674612
