,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Hydrogen Storage,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Operating Expenses,Administrative expenses,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Operating Expenses,Road tax,0.0
11,Financing cash outflow,Income taxes payable,0.0
12,Operating Expenses,Non-depreciable assets,0.00011246123258774611
13,Operating Expenses,Desalination,0.0003544218027999612
14,Operating Expenses,Desalination Fixed O&M Cost,0.00156480447560766
15,Operating Expenses,Compression,0.008421097096170428
16,Operating Expenses,Battery Storage Fixed O&M Cost,0.012061467195035768
17,Operating Expenses,Cash on hand reserve,0.01404272563061081
18,Operating Expenses,Water,0.014063324538258572
19,Operating Expenses,Battery Storage,0.016081956260047693
20,Operating Expenses,Property insurance,0.017808875245078227
21,Operating Expenses,Var O&M,0.07119478191591576
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08291541756229345
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.08940667990725815
24,Operating Expenses,Solar Plant,0.12190471474937173
25,Operating Expenses,Electrolysis system,0.19006432038178356
26,Operating Expenses,Wind Plant,0.19247313324460802
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.2615677616818197
28,Financing cash outflow,Repayment of debt,0.35371257055751226
29,Financing cash outflow,Interest expense,0.4827050332095844
30,Financing cash outflow,Dividends paid,0.7981751856182837
31,Operating Expenses,Grid Electricity Cost,1.2327735973005824
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.00011246123258774611
36,Financing cash inflow,One time capital incentive,0.008040978130023847
37,Operating Revenue,Cash on hand recovery,0.014042725630610809
38,Operating Revenue,Hydrogen sales,0.08740111340757586
39,Financing cash inflow,Inflow of debt,0.3537125705575123
40,Financing cash inflow,Inflow of equity,1.6562813423681684
41,Financing cash inflow,Monetized tax losses,2.0166153650938825
