,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Sales tax,0.0
7,Operating Expenses,Credit card fees,0.0
8,Operating Expenses,Road tax,0.0
9,Operating Expenses,Property insurance,0.0
10,Operating Expenses,Cooling water,5.580990977316858e-06
11,Operating Expenses,Non-depreciable assets,0.00022335134547705866
12,Operating Expenses,Cooling Tower,0.0004287631108854
13,Operating Expenses,Maintenance Cost,0.0006032812759163221
14,Operating Expenses,Boiler and Steam Turbine,0.0006315571985247502
15,Operating Expenses,Installation cost,0.0010837284384776673
16,Operating Expenses,Cash on hand reserve,0.0012602011451899112
17,Operating Expenses,Haber Bosch,0.0016655577853838838
18,Operating Expenses,Air Separation by Cryogenic,0.002010707086576492
19,Operating Expenses,Iron based catalyst,0.0021180315277480326
20,Operating Expenses,Depreciable Nonequipment,0.002318837347213995
21,Operating Expenses,Administrative Expense,0.0034957963328252034
22,Financing cash outflow,Income taxes payable,0.0038454065896637007
23,Operating Expenses,Property tax and insurance,0.004233253517150712
24,Financing cash outflow,Repayment of debt,0.004848845878699227
25,Financing cash outflow,Interest expense,0.007824582594456942
26,Financing cash outflow,Dividends paid,0.014101532052442802
27,Operating Expenses,Labor Cost,0.017478981664126016
28,Operating Expenses,Electricity,0.03930381121642405
29,Operating Expenses,Hydrogen,0.3742769732467421
30,Operating Revenue,Take or pay revenue,0.0
31,Operating Revenue,Incidental revenue,0.0
32,Financing cash inflow,One time capital incentive,0.0
33,Financing cash inflow,Annual operating incentives,0.0
34,Operating Revenue,Sale of non-depreciable assets,0.00022335134547705866
35,Financing cash inflow,Monetized tax losses,0.000904697908632672
36,Operating Revenue,Cash on hand recovery,0.001260201145189911
37,Financing cash inflow,Inflow of debt,0.004848845878699227
38,Financing cash inflow,Inflow of equity,0.0072344555385032445
39,Operating Revenue,Oxygen byproduct,0.008386648300601965
40,Operating Revenue,Ammonia sales,0.4589005802277975
