,0
Useful Life,30.0
Wind Cost ($/kW),1100.0
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),536.9985600000001
Total Electricity Production (kWh),3522.7852003598273
Debt Equity,60.0
ATB Year,2030.0
H2 PTC,3.0
Wind ITC,0.0
Discount Rate,0.07
NPV Wind Expenses,-1079476766.1741176
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),20.834060240702485
LCOH ($/kg),1.6961184740209738
Electrolyzer CF (-),0.47076464
Hydrogen storage duration (hr),20.19861602209945
Hydrogen storage capacity (kg),317632.4500434405
Hydrogen storage CAPEX ($/kg),540.0
Hydrogen annual production (kg),89613310.79998739
Renewable electricity used annually (MWh),3381319.8
Grid electricity used annually (MWh),742578.43
Renewable curtailment annually,141465.41
LCOH: Grid Electricity ($/kg),0.73282983
LCOH: Compression & storage ($/kg),0.21067262
LCOH: Electrolyzer CAPEX ($/kg),0.4037321
LCOH: Desalination CAPEX ($/kg),0.00148898
LCOH: Electrolyzer FOM ($/kg),0.14283596
LCOH:Desalination FOM ($/kg),0.02210022
LCOH: Electrolyzer VOM ($/kg),0.0823737
LCOH: Renewable CAPEX ($/kg),0.88878442
LCOH: Renewable FOM ($/kg),0.37940802
LCOH: Taxes and Finances ($/kg),0.12838194
LCOH: Water consumption ($/kg),0.02219
LCOH: Bulk H2 Transmission ($/kg),0.15255352654290752
LCOH: Renewable PTC Reduction ($/kg),0.47123283252193365
LCOH: H2PTC Reduction ($/kg),1.0
Steel annual production (tonne/year),1222740.7477257224
Ammonia annual production (kg/year),408810724.48483753
Steel Price with Integration ($/tonne),725.602000366549
Steel price: EAF and Casting CAPEX ($/tonne),6.5907933909380505
Steel price: Shaft Furnace CAPEX ($/tonne),4.054607988695311
Steel price: Oxygen Supply CAPEX ($/tonne),0.4679185223572668
Steel price: H2 Pre-heating CAPEX ($/tonne),0.27819633448788167
Steel price: Cooling Tower CAPEX ($/tonne),0.5747198398099124
Steel price: Piping CAPEX ($/tonne),1.6855508437676106
Steel price: Electrical & Instrumentation ($/tonne),1.1237005634627615
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.645288544919908
Steel price: Miscellaneous CAPEX ($/tonne),1.12370101139369
Steel price: Annual Operating Labor Cost ($/tonne),64.70351147984505
Steel price: Maintenance Labor Cost ($/tonne),4.801165105612607
Steel price: Administrative & Support Labor Cost ($/tonne),17.37616914636441
Steel price: Installation Cost ($/tonne),6.956306900754066
Steel price: Maintenance Materials ($/tonne),7.720000000000004
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000026
Steel price: Lime ($/tonne),2.0893149150125434
Steel price: Carbon ($/tonne),11.722256166785758
Steel price: Iron Ore ($/tonne),360.92245014899095
Steel price: Hydrogen ($/tonne),111.87597454642348
Steel price: Natural gas ($/tonne),2.7167092623580085
Steel price: Electricity ($/tonne),48.65794890583203
Steel price: Slag Disposal ($/tonne),6.5600379000000055
Steel price: Taxes ($/tonne),12.526359749520845
Steel price: Financial ($/tonne),60.96258075173139
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),738.6117499253634
(-) Steel price: BOS savings ($/tonne),8.688084573182207
Ammonia price: Air Separation by Cryogenic ($/kg),0.0018157550593762752
Ammonia price: Haber Bosch ($/kg),0.0015040703818493663
Ammonia price: Boiler and Steam Turbine ($/kg),0.0005703233385720682
Ammonia price: Cooling Tower ($/kg),0.00038719154722313595
Ammonia price: Depreciable Nonequipment ($/kg),0.0021259545083871303
Ammonia price: Labor Cost ($/kg),0.014436751424207464
Ammonia price: Maintenance Cost ($/kg),0.0006348419531289481
Ammonia price: Administrative Expense ($/kg),0.0028873502848414923
Ammonia price: Hydrogen ($/kg),0.33461772056449907
Ammonia price: Electricity ($/kg),0.04692858800621015
Ammonia price: Cooling water ($/kg),5.580990977316862e-06
Ammonia price: Iron based catalyst ($/kg),0.002118031527748034
Ammonia price: Oxygen byproduct ($/kg),0.00838664830060197
Ammonia price: Taxes ($/kg),0.002560361095171774
Ammonia price: Financial ($/kg),0.01688483888755784
Ammonia price: Total ($/kg),0.4200191045014209
