,0
Useful Life,30.0
Wind Cost ($/kW),1100.0
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),715.8725844926712
Total Electricity Production (kWh),3522.7852003598273
Debt Equity,60.0
ATB Year,2030.0
H2 PTC,3.0
Wind ITC,0.0
Discount Rate,0.07
NPV Wind Expenses,-1079476766.1741176
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),20.834060240702485
LCOH ($/kg),3.74580444870723
Electrolyzer CF (-),0.25584704
Hydrogen storage duration (hr),78.32038259668508
Hydrogen storage capacity (kg),1231623.7402258904
Hydrogen storage CAPEX ($/kg),540.0
Hydrogen annual production (kg),48707877.599998675
Renewable electricity used annually (MWh),2241220.1
Grid electricity used annually (MWh),0.0
Renewable curtailment annually,1281565.1
LCOH: Grid Electricity ($/kg),0.0
LCOH: Compression & storage ($/kg),1.11031426
LCOH: Electrolyzer CAPEX ($/kg),1.02702663
LCOH: Desalination CAPEX ($/kg),0.00284128
LCOH: Electrolyzer FOM ($/kg),0.26279114
LCOH:Desalination FOM ($/kg),0.04066022
LCOH: Electrolyzer VOM ($/kg),0.15736617
LCOH: Renewable CAPEX ($/kg),1.5016918
LCOH: Renewable FOM ($/kg),0.69803897
LCOH: Taxes and Finances ($/kg),0.19813603
LCOH: Water consumption ($/kg),0.02219
LCOH: Bulk H2 Transmission ($/kg),0.19592623529878983
LCOH: Renewable PTC Reduction ($/kg),0.4711782765915595
LCOH: H2PTC Reduction ($/kg),1.0
Steel annual production (tonne/year),664601.1194663252
Ammonia annual production (kg/year),222202511.5690408
Steel Price with Integration ($/tonne),936.3455954027785
Steel price: EAF and Casting CAPEX ($/tonne),9.182784275463671
Steel price: Shaft Furnace CAPEX ($/tonne),4.342698707600287
Steel price: Oxygen Supply CAPEX ($/tonne),0.5807227394523765
Steel price: H2 Pre-heating CAPEX ($/tonne),0.30194395982555183
Steel price: Cooling Tower CAPEX ($/tonne),0.7187234311261202
Steel price: Piping CAPEX ($/tonne),2.151276313650532
Steel price: Electrical & Instrumentation ($/tonne),1.4341842103141473
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.9883242193291095
Steel price: Miscellaneous CAPEX ($/tonne),1.4341847820104567
Steel price: Annual Operating Labor Cost ($/tonne),102.06270791025287
Steel price: Maintenance Labor Cost ($/tonne),5.989610759178135
Steel price: Administrative & Support Labor Cost ($/tonne),27.013079667357747
Steel price: Installation Cost ($/tonne),8.428850777859743
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.089314915012542
Steel price: Carbon ($/tonne),11.722256166785751
Steel price: Iron Ore ($/tonne),360.9224501489908
Steel price: Hydrogen ($/tonne),247.0732614367289
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),48.657948905832
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),16.519364614916903
Steel price: Financial ($/tonne),78.4838612802603
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),949.5707842906058
(-) Steel price: BOS savings ($/tonne),13.506539833678875
Ammonia price: Air Separation by Cryogenic ($/kg),0.0023172163793108583
Ammonia price: Haber Bosch ($/kg),0.0019194530156809253
Ammonia price: Boiler and Steam Turbine ($/kg),0.0007278308683861881
Ammonia price: Cooling Tower ($/kg),0.0004941231420632038
Ammonia price: Depreciable Nonequipment ($/kg),0.002622093401323668
Ammonia price: Labor Cost ($/kg),0.022806018187875754
Ammonia price: Maintenance Cost ($/kg),0.0005619671840104428
Ammonia price: Administrative Expense ($/kg),0.004561203637575152
Ammonia price: Hydrogen ($/kg),0.7389887944179496
Ammonia price: Electricity ($/kg),0.046928588006210095
Ammonia price: Cooling water ($/kg),5.580990977316856e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480317
Ammonia price: Oxygen byproduct ($/kg),0.00838664830060196
Ammonia price: Taxes ($/kg),0.004067759188632538
Ammonia price: Financial ($/kg),0.02356137201252899
Ammonia price: Total ($/kg),0.84464336966573
