Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,96099,-,-,-,35.29,-108.94,-7,2122,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2012,1,1,0,30,0,0,0,1.2000000000000002,-3,167.51
2012,1,1,1,30,0,0,0,1.2000000000000002,-3,160.3
2012,1,1,2,30,0,0,0,1.1,-3,149.07
2012,1,1,3,30,0,0,0,1.1,-2,136.98
2012,1,1,4,30,0,0,0,1,-2,124.76
2012,1,1,5,30,0,0,0,1,-1,112.68
2012,1,1,6,30,0,0,0,0.9,0,100.96000000000001
2012,1,1,7,30,0,0,0,0.8,0,89.83
2012,1,1,8,30,170,35,750,1.1,3,79.62
2012,1,1,9,30,349,47,916,1.3,6,70.73
2012,1,1,10,30,489,53,987,1.2000000000000002,8,63.77
2012,1,1,11,30,571,63,998,1.4000000000000001,10,59.44
2012,1,1,12,30,592,64,1006,1.8,11,58.34
2012,1,1,13,30,547,61,991,2,11,60.64
2012,1,1,14,30,442,55,952,1.7000000000000002,10,65.99
2012,1,1,15,30,286,46,856,1.3,6,73.72
2012,1,1,16,30,102,29,615,1.5,1,83.14
2012,1,1,17,30,0,0,0,1.7000000000000002,0,93.73
2012,1,1,18,30,0,0,0,1.8,-1,105.09
2012,1,1,19,30,0,0,0,1.8,-1,116.96000000000001
2012,1,1,20,30,0,0,0,1.7000000000000002,-1,129.12
2012,1,1,21,30,0,0,0,1.7000000000000002,-2,141.33
2012,1,1,22,30,0,0,0,1.6,-2,153.24
2012,1,1,23,30,0,0,0,1.6,-2,163.64000000000001
2012,1,2,0,30,0,0,0,1.6,-2,167.45000000000002
2012,1,2,1,30,0,0,0,1.6,-2,160.32
2012,1,2,2,30,0,0,0,1.6,-2,149.12
2012,1,2,3,30,0,0,0,1.6,-2,137.04
2012,1,2,4,30,0,0,0,1.6,-2,124.81
2012,1,2,5,30,0,0,0,1.6,-2,112.73
2012,1,2,6,30,0,0,0,1.7000000000000002,-1,101
2012,1,2,7,30,0,0,0,2.2,0,89.86
2012,1,2,8,30,168,35,742,2.9000000000000004,2,79.63
2012,1,2,9,30,346,47,906,3.3000000000000003,5,70.72
2012,1,2,10,30,486,54,977,3.4000000000000004,8,63.74
2012,1,2,11,30,570,61,999,3.3000000000000003,10,59.38
2012,1,2,12,30,591,62,1005,3,11,58.25
2012,1,2,13,30,546,60,988,2.5,12,60.53
2012,1,2,14,30,441,56,940,1.7000000000000002,11,65.87
2012,1,2,15,30,286,47,843,1.2000000000000002,8,73.58
2012,1,2,16,30,103,30,603,1.5,5,83
2012,1,2,17,30,0,0,0,1.6,3,93.59
2012,1,2,18,30,0,0,0,1.8,1,104.95
2012,1,2,19,30,0,0,0,1.9000000000000001,0,116.82000000000001
2012,1,2,20,30,0,0,0,2,0,128.98
2012,1,2,21,30,0,0,0,1.9000000000000001,0,141.20000000000002
2012,1,2,22,30,0,0,0,1.8,0,153.1
2012,1,2,23,30,0,0,0,1.7000000000000002,0,163.5
2012,1,3,0,30,0,0,0,1.6,0,167.38
2012,1,3,1,30,0,0,0,1.5,0,160.34
2012,1,3,2,30,0,0,0,1.5,0,149.17000000000002
2012,1,3,3,30,0,0,0,1.4000000000000001,0,137.09
2012,1,3,4,30,0,0,0,1.4000000000000001,0,124.86
2012,1,3,5,30,0,0,0,1.4000000000000001,0,112.78
2012,1,3,6,30,0,0,0,1.3,0,101.04
2012,1,3,7,30,0,0,0,1.4000000000000001,1,89.89
2012,1,3,8,30,171,36,748,2,3,79.64
2012,1,3,9,30,350,50,908,2.5,5,70.71000000000001
2012,1,3,10,30,360,174,419,2.7,8,63.7
2012,1,3,11,30,462,164,584,3.2,9,59.31
2012,1,3,12,30,454,209,463,3.5,10,58.15
2012,1,3,13,30,425,186,485,3.1,9,60.410000000000004
2012,1,3,14,30,300,181,289,2.1,7,65.73
2012,1,3,15,30,205,104,354,1.4000000000000001,4,73.44
2012,1,3,16,30,68,47,168,1.5,1,82.86
2012,1,3,17,30,0,0,0,1.5,0,93.45
2012,1,3,18,30,0,0,0,1.5,-1,104.81
2012,1,3,19,30,0,0,0,1.4000000000000001,-1,116.68
2012,1,3,20,30,0,0,0,1.4000000000000001,-1,128.84
2012,1,3,21,30,0,0,0,1.4000000000000001,-2,141.06
2012,1,3,22,30,0,0,0,1.4000000000000001,-2,152.96
2012,1,3,23,30,0,0,0,1.4000000000000001,-2,163.36
2012,1,4,0,30,0,0,0,1.5,-2,167.3
2012,1,4,1,30,0,0,0,1.6,-2,160.35
2012,1,4,2,30,0,0,0,1.5,-2,149.21
2012,1,4,3,30,0,0,0,1.5,-2,137.14000000000001
2012,1,4,4,30,0,0,0,1.6,-2,124.91
2012,1,4,5,30,0,0,0,1.6,-2,112.82000000000001
2012,1,4,6,30,0,0,0,1.5,-2,101.07000000000001
2012,1,4,7,30,0,0,0,2,-1,89.91
2012,1,4,8,30,171,33,763,2.7,1,79.64
2012,1,4,9,30,352,44,930,2.9000000000000004,4,70.69
2012,1,4,10,30,495,50,1003,2.8000000000000003,7,63.65
2012,1,4,11,30,582,58,1023,2.6,9,59.230000000000004
2012,1,4,12,30,605,57,1034,2.3000000000000003,10,58.050000000000004
2012,1,4,13,30,561,55,1021,1.9000000000000001,11,60.28
